nom_commune,latitude,longitude,headcount
Aiguefonde,43.4928550174,2.32315581418,2657.0
Albi,43.9258213622,2.14686328555,51567.0
Albias,44.0815971851,1.44856431622,3259.0
Alzonne,43.2652998624,2.17459434048,1514.0
Argeliers,43.3110246072,2.91115452781,2050.0
Armissan,43.187641628,3.08927705991,1579.0
Arthès,43.9638815505,2.22587013595,2585.0
Aubin,44.5318545051,2.25591796926,4125.0
Aucamville,43.6713968117,1.42370910767,8193.0
Aussillon,43.4946823944,2.35580492552,6283.0
Aussonne,43.6836034494,1.32887054853,6971.0
Auterive,43.3595991576,1.47742796554,9430.0
Auzeville-Tolosane,43.5286122552,1.48721978973,3827.0
Ayguesvives,43.4290243945,1.59439448927,2535.0
Bagnères-de-Luchon,42.736147731,0.626640395614,2711.0
Baho,42.705784148,2.82066588737,3261.0
Baixas,42.7454275346,2.80569787207,2621.0
Balma,43.6115258731,1.50459138348,15326.0
Baraqueville,44.2810938954,2.44964862339,3242.0
Bassan,43.4084026514,3.2545400418,1862.0
Baziège,43.4622367436,1.62799581298,3256.0
Beaumont-de-Lomagne,43.876728355,1.01059588806,3997.0
Beaumont-sur-Lèze,43.3798440302,1.35610208847,1569.0
Beauzelle,43.667783714,1.37408906279,5952.0
Bessières,43.796995756,1.58618244226,3670.0
Bizanet,43.1482543689,2.86981441339,1552.0
Blagnac,43.6421867862,1.37886941086,23463.0
Blaye-les-Mines,44.033065795,2.14278920127,3293.0
Boujan-sur-Libron,43.3803202017,3.26313194789,3301.0
Bouloc,43.7958003847,1.4191891401,4404.0
Boulogne-sur-Gesse,43.2904403081,0.650641474176,1676.0
Bousquet-d'Orb,43.7025373477,3.15150280873,1600.0
Bozouls,44.4675229225,2.70795409779,2821.0
Bram,43.2514206471,2.11029895207,3539.0
Brax,43.6156942044,1.23194886903,2782.0
Brens,43.8878107316,1.92967120122,2311.0
Bressols,43.9544945655,1.31611180901,3723.0
Briatexte,43.747193404,1.92377964856,2059.0
Bruguières,43.7271508931,1.40915818124,5270.0
Burlats,43.634494226,2.32985791816,2047.0
Buzet-sur-Tarn,43.7685831064,1.61379658307,2584.0
Bédarieux,43.6125569074,3.16680787195,6512.0
Bérat,43.377910708,1.17131231039,2926.0
Béziers,43.3475883319,3.23076754164,76382.0
Cadalen,43.8430473493,1.9835948491,1524.0
Cagnac-les-Mines,43.9810206314,2.11921214,2393.0
Calmont,43.2841584192,1.62632523244,2339.0
Calmont,44.2590321912,2.52423447426,2049.0
Cambon,43.9118287405,2.2237324057,2106.0
Canet,43.2263270796,2.83123999016,1655.0
Capdenac-Gare,44.5596095618,2.06863929998,4682.0
Capendu,43.1836102247,2.5538350475,1642.0
Capestang,43.3217608814,3.04813542922,3219.0
Caraman,43.5291002668,1.75296927178,2375.0
Carbonne,43.3014494679,1.21849966052,5430.0
Carcassonne,43.2093798444,2.34398855385,48287.0
Carmaux,44.0566667256,2.16641418483,9981.0
Castanet-Tolosan,43.5136166687,1.50383757047,12641.0
Castelginest,43.6974132735,1.4355878363,9869.0
Castelmaurou,43.6845152261,1.53745049477,4124.0
Castelnau-d'Estrétefonds,43.7938485319,1.36164575228,5975.0
Castelnau-de-Lévis,43.9437169399,2.07110041598,1602.0
Castelnaudary,43.3230173159,1.96073752488,12043.0
Castelsarrasin,44.0490326525,1.12348123121,14216.0
Castres,43.6156511237,2.23787231587,43273.0
Caunes-Minervois,43.3327963198,2.51635482478,1709.0
Caussade,44.1565421874,1.54351161487,7042.0
Caylus,44.2420637295,1.75360869362,1518.0
Cazilhac,43.1781298027,2.35922152634,1711.0
Cazouls-lès-Béziers,43.3976310061,3.09968408339,4838.0
Cazères,43.2203354224,1.09307402728,4939.0
Cessenon-sur-Orb,43.454255953,3.04105685842,2200.0
Cintegabelle,43.3068275347,1.53572104777,2828.0
Colombiers,43.3154427074,3.14408489609,2393.0
Colomiers,43.611551508,1.32700218407,38695.0
Conques-sur-Orbiel,43.2842108379,2.38445720467,2485.0
Corbarieu,43.9412424129,1.38125963307,1709.0
Cornebarrieu,43.6486265729,1.32242964582,6094.0
Corneilhan,43.4019158731,3.19646909988,1742.0
Corneilla-la-Rivière,42.709567145,2.72548561716,2021.0
Coufouleux,43.7978489409,1.73158426557,2599.0
Coursan,43.247330951,3.05926886129,6100.0
Cransac,44.5186350592,2.28781785665,1646.0
Creissels,44.064990103,3.05961986973,1618.0
Cugnaux,43.5449211242,1.34286223759,16869.0
Cunac,43.9274396398,2.22514974494,1641.0
Cuxac-d'Aude,43.2578013318,3.00547549948,4074.0
